stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,wave_1_max,slope,wave_depth,wave_length
6723.T,812,246,722,-22140,-11.08,2018-09-04,2018-09-10,4,867,2.2,74,15
7270.T,2576.81,75,2864.06,21543.75,11.15,2018-09-12,2018-09-25,8,2853.11,-0.133806452,23.01,155
5706.T,2446.13,80,2482.78,2932,1.5,2018-09-13,2018-10-25,27,3839.66,9.627777778,396.32,27
6752.T,1086.84,184,1047.74,-7194.4,-3.6,2018-10-26,2018-11-01,4,1310.04,-0.060769231,25.05,65
2502.T,4276.31,50,4350.05,3687,1.72,2018-10-10,2018-11-13,23,4436.09,8.559583333,302,24
3436.T,1408.31,139,1317.81,-12579.5,-6.43,2018-09-14,2018-11-20,44,2106.43,4.742954545,320.07,44
6724.T,1554.64,125,1581.88,3405,1.75,2018-09-11,2018-11-22,49,1768.67,4.698163265,259.21,49
5020.T,546.11,349,471.68,-25976.07,-13.63,2018-11-22,2018-12-19,19,632.78,0.855806452,68.04,62
3659.T,1158.14,188,1675.51,97265.56,44.67,2018-11-13,2019-01-24,49,1504.7,2.550625,270.53,48
4063.T,1684.25,187,1759.4,14053.05,4.46,2019-01-24,2019-01-25,1,1717.65,5.088,167.59,20
5214.T,2343.27,81,2465.29,9883.62,5.21,2018-12-07,2019-01-29,34,2549.13,9.034705882,434.23,34
6758.T,5172.31,63,4578.72,-37396.17,-11.48,2019-01-25,2019-02-07,6,5364.67,14.24888889,517.82,27
8795.T,1132.12,179,1037.53,-16931.61,-8.36,2019-01-31,2019-03-11,24,1184.67,4.559615385,164.38,26
9020.T,9424.89,21,9992.07,11910.78,6.02,2018-09-05,2019-03-12,125,9890.08,7.860793651,1141.05,126
6954.T,3306.93,50,3768.34,23070.5,13.95,2018-12-19,2019-03-19,58,4434.61,6.451,462.91,60
8354.T,1929.72,149,2091.08,24042.64,8.36,2019-02-07,2019-03-19,28,2063.77,10.1137037,311.97,27
7205.T,882.78,284,990.38,30558.4,12.19,2019-03-19,2019-04-19,21,973.01,0.508867925,64.18,53
6988.T,5131.44,38,4382.04,-28477.2,-14.6,2019-03-12,2019-05-21,45,5447.95,19.23534884,981,43
4004.T,3216.77,62,2664.22,-34258.1,-17.18,2019-03-13,2019-06-19,64,3632.25,13.19,1015.15,63
4506.T,2208.25,127,1885.36,-41007.03,-14.62,2019-04-19,2019-06-21,41,2769.43,9.342820513,549.8,39
3407.T,1024.47,246,1008.26,-3987.66,-1.58,2019-03-20,2019-07-05,70,1094.26,2.172571429,186.54,70
5541.T,1921.81,86,2046.38,10713.02,6.48,2019-06-19,2019-07-18,20,2077.53,7.5115,234.5,20
5541.T,2046.38,86,2136.15,7720.22,4.39,2019-07-18,2019-07-19,1,2126.08,3.155238095,283.05,63
6702.T,6412.46,30,7741.86,39882,20.73,2018-11-01,2019-08-08,187,7714.38,10.47342246,2087.96,187
6952.T,1172.82,213,1319.87,31321.65,12.54,2019-07-09,2019-08-28,36,1223.62,1.877234043,185.37,47
9983.T,20713.36,11,20527.23,-2047.43,-0.9,2019-08-08,2019-10-11,44,22697.76,52.01139535,2643.71,43
4631.T,2213.87,130,2647.48,56369.3,19.59,2019-08-28,2019-11-14,54,2558.39,7.330588235,409.58,51
6971.T,6159.09,27,6511.08,9503.73,5.71,2019-05-22,2019-11-18,124,6572.17,14.67652893,1942.03,121
9202.T,3456.35,69,3651.34,13454.31,5.64,2019-06-25,2019-11-18,101,3995.52,3.491340206,417.14,97
5411.T,1121.06,229,1269.55,34004.21,13.25,2019-11-20,2019-12-06,12,1230.47,2.22741573,231.6,89
6841.T,1713.51,132,1856.3,18848.28,8.33,2019-10-11,2019-12-26,52,1914.22,2.885882353,233.81,51
7201.T,647.53,399,560.46,-34740.93,-13.45,2019-11-22,2020-02-12,53,693.83,0.926578947,86.02,76
6178.T,856.1,288,691.6,-47376,-19.22,2019-12-26,2020-03-09,49,888.42,1.382469136,120.17,81
1812.T,1255.77,205,839.21,-85394.8,-33.17,2019-11-21,2020-03-13,76,1386.82,4.054606742,383.89,89
2503.T,2145.47,135,1637.08,-68632.65,-23.7,2019-12-06,2020-03-16,66,2262.57,5.831666667,485.9,78
5801.T,1568.75,128,1732.99,21022.72,10.47,2020-03-19,2020-04-21,21,2782.69,7.198636364,228.27,22
4911.T,5646.73,34,6199.5,18794.18,9.79,2020-03-18,2020-05-22,43,7783.26,8.92952381,613.24,42
8601.T,353.26,632,397.58,28010.24,12.55,2020-04-21,2020-06-02,28,391.75,2.036923077,91.88,26
4452.T,7499.61,24,8301.47,19244.64,10.69,2019-07-19,2020-06-05,219,8139.89,7.115116279,1863.25,215
4523.T,7348.12,27,8100.16,20305.08,10.23,2020-03-10,2020-07-13,83,8754.08,24.75845238,2201.28,84
6594.T,6669.19,33,8056.73,45788.82,20.81,2020-06-17,2020-07-22,23,7003.33,25.54141026,2287.14,78
9020.T,7700.72,28,5827.86,-52440.08,-24.32,2020-06-19,2020-07-31,28,8525.32,14.69977273,1812.72,88
7735.T,4874.58,45,5053.03,8030.25,3.66,2020-06-16,2020-09-02,54,5287.84,38.37943396,2318.46,53
2282.T,4412.22,51,4454.15,2138.43,0.95,2020-09-02,2020-09-03,1,4137.33,11.27697248,1497.7,109
2282.T,4454.15,51,4393.58,-3089.07,-1.36,2020-09-03,2020-09-04,1,4137.33,11.27697248,1497.7,109
9983.T,19174.91,14,27368.89,114715.72,42.73,2020-07-22,2020-11-25,87,21546.93,94.33277108,8543.18,83
7269.T,3269.63,50,5322.53,102645,62.79,2020-07-31,2020-11-30,83,4005.11,15.34148148,1717.85,81
6472.T,231.98,1400,237.87,8246,2.54,2020-12-01,2020-12-02,1,235.91,0.5603,62.91,100
4507.T,5971.47,37,5345.72,-23152.75,-10.48,2020-07-14,2020-12-03,99,6799.79,25.27210526,2696.05,95
6472.T,237.87,1382,240.82,4076.9,1.24,2020-12-02,2020-12-03,1,235.91,0.5603,62.91,100
3863.T,1115.35,256,1113.46,-483.84,-0.17,2020-12-03,2020-12-04,1,1206.88,-0.51125,-10.68,96
4631.T,2186.69,104,2277.87,9482.72,4.17,2020-09-04,2021-01-06,83,2524.13,10.07831325,948.27,83
8304.T,1600.31,179,1740.1,25022.41,8.74,2020-12-09,2021-01-19,27,1679.6,1.465299145,264.54,117
6473.T,737.49,388,1034.37,115189.44,40.26,2020-12-10,2021-02-05,39,904.84,1.25835443,338.61,237
8031.T,1678.87,133,2116.98,58268.63,26.1,2020-02-18,2021-02-25,254,1739.33,0.996609337,446.81,407
8628.T,728.41,393,757.58,11463.81,4,2020-12-04,2021-09-29,202,863.99,1.4602,339.35,200
7974.T,4140.89,71,4300.75,11350.06,3.86,2021-10-05,2021-11-12,27,4756.11,11.26592593,486.68,27
6861.T,53022.56,6,72417.05,116366.94,36.58,2021-02-25,2021-12-13,198,58681.99,83.36566327,17435.49,196
4151.T,3103.26,140,3057.47,-6410.6,-1.48,2021-12-21,2022-01-12,15,3228.94,5.478,198.18,15
6762.T,4402.65,97,4015.6,-37543.85,-8.79,2022-01-12,2022-01-21,7,4562.3,12.78642857,387.04,14
4506.T,1469.61,210,1233.69,-49543.2,-16.05,2021-11-12,2022-01-27,53,1927.89,2.120123457,226.46,81
6701.T,5033.95,77,4487,-42115.15,-10.87,2022-01-21,2022-01-27,4,5275.97,7.2605,377.55,40
2282.T,4193.24,56,3859.27,-18702.32,-7.96,2021-01-06,2022-02-03,266,4533.36,6.109849624,1893.73,266
6762.T,3759.18,81,4581.66,66620.88,21.88,2022-01-28,2022-02-18,12,4562.3,12.78642857,387.04,14
1963.T,1053.56,353,1167.72,40298.48,10.84,2022-02-18,2022-03-01,7,1133.86,1.527602339,277.66,171
4661.T,3181.87,98,4231.44,102857.86,32.99,2021-01-21,2022-03-07,277,3712.02,4.236811594,1466.73,276
3401.T,1398.65,155,1195.72,-31454.15,-14.51,2022-02-03,2022-03-09,24,1431.05,3.507021277,192.46,47
8697.T,2219.38,136,2252.8,4545.12,1.51,2022-01-27,2022-04-05,44,2491.61,4.119777778,251.26,45
9984.T,4577.41,40,5125.15,21909.6,11.97,2022-03-09,2022-05-06,38,5675.36,12.30216216,682.27,37
2502.T,4284.65,72,4596.28,22437.36,7.27,2022-04-08,2022-05-13,21,4386.92,16.63142857,606.86,21
5803.T,584.29,705,753.56,119335.35,28.97,2022-03-01,2022-05-20,53,659.47,1.065326087,121.81,92
7270.T,1890.48,194,2151.73,50682.5,13.82,2021-03-03,2022-05-31,306,2161.47,1.559672131,630.91,305
5202.T,383,538,423,21520,10.44,2022-05-11,2022-06-03,16,407,0.558139535,45,43
1332.T,527.25,627,545.63,11524.26,3.49,2022-05-13,2022-06-23,28,564.01,1.401034483,50.3,29
6753.T,1026,315,1087,19215,5.95,2022-06-10,2022-07-20,27,1092,1.925925926,96,27
5233.T,1846.24,288,2026.5,51914.88,9.76,2022-05-20,2022-08-15,59,2072.05,3.751186441,289.9,59
5802.T,1228.76,337,1482.76,85598,20.67,2022-03-08,2022-10-12,147,1607.05,1.861780822,311.2,146
6594.T,7675.67,65,7508.53,-10864.1,-2.18,2022-10-12,2022-10-13,1,10018.54,-4.22656051,-1011.15,314
9064.T,2154.73,149,2187.68,4909.55,1.53,2022-06-08,2022-10-19,92,2470.1,3.770555556,404.33,90
4063.T,2949.74,116,3084.14,15590.4,4.56,2022-06-24,2022-11-01,89,3678.81,5.435287356,566.09,87
3861.T,512.18,700,521.05,6209,1.73,2022-11-01,2023-01-25,55,548.62,0.464736842,36.19,57
7205.T,622,950,566,-53200,-9,2022-08-24,2023-03-09,133,757,0.747819549,139.07,133
6702.T,16783.99,20,17520,14720.2,4.39,2022-08-02,2023-04-12,170,19134.54,24.53017544,4816.75,171
4061.T,2846.67,190,2694,-29007.3,-5.36,2023-03-09,2023-04-27,32,2915.91,11.28764706,433.23,34
8630.T,5481.87,66,6159,44690.58,12.35,2023-02-01,2023-06-06,84,5810.7,2.144507042,455.2,142
8304.T,2387.25,180,2580.02,34698.6,8.07,2023-04-27,2023-06-16,34,2455.28,4.719393939,222.66,33
1801.T,3941.19,83,4933,82320.23,25.17,2022-10-25,2023-06-27,163,4216.5,5.540903614,987.56,166
5801.T,2243.65,217,2699.5,98919.45,20.32,2022-10-14,2023-07-28,193,2438.04,2.277794872,508.18,195
5831.T,1013,401,1186.5,69573.5,17.13,2023-06-09,2023-07-31,35,1062,2.377,172.15,60
8331.T,870.8,534,998.7,68298.6,14.69,2023-06-16,2023-07-31,30,921,1.557307692,108.91,52
